id,question
1,"Игроку 2 следует всегда принимать любое предложение, даже если игрок 1 предложил ему 0 жетонов. Любое другое поведение просто глупо."
2,"Игроку 2 следует всегда принимать любое предложение, кроме, возможно, того случая, когда игрок 1 предлагает 0 жетонов. Любое другое поведение просто глупо."
3,Отвергать маленькие предложения - достаточно типичное поведение для игрока 2. Большинство людей принимают предложения в 30 жетонов и более.
4,"Игроку 2 следует отвергнуть любые предложение, которые меньше 50 жетонов."
5,"Игроку 1 следует предложить 50 жетонов игроку 2, потому что только это является справедливым дележом."
6,Игрок 1 имеет полное моральное право предложить 0 жетонов в игре 2. Ничего зазорного в этом нет.
7,"В игре 3 игроку 1 следует дать больше игроку 2, если тот выбрал игру 1."
8,"В игре 3 игроку 1 следует дать больше игроку 2, если тот выбрал игру 2."
9,Выбор игры 1 - признак некооперативного поведения.
10,"Игроку 1 следует дать больше игроку 2 в игре 1 в том случае, если тот выбрал эту игру сам (как в игре 3), так как такой выбор означает, что игрок 2 откажется от маленьких предложений с большей вероятностью."
11,"Игроку 1 следует дать меньше игроку 2 в игре 1 в том случае, если тот выбрал эту игру сам (как в игре 3), из-за желания наказать игрока 2."
12,"Игроку 1 следует дать игроку 2 одинаковое количество жетонов в играх 1 и 3, при условии выбора игры 1 в игре 3. "
13,"Игроку 1 следует дать больше игроку 2 в игре 2 в том случае, если тот выбрал эту игру сам (как в игре 3), чтобы наградить игрока 2 за кооперативное поведение."
14,"Игроку 1 следует дать меньше игроку 2 в игре 2 в том случае, если тот выбрал эту игру сам (как в игре 3), так как такой выбор означает, что игрок 2 понимает, что в этом эксперименте вся власть на стороне игрока 1, и игрок 1 имеет полное моральное право предложить очень мало (или даже вообще ничего)."
15,"Игроку 1 следует дать игроку 2 одинаковое количество жетонов в играх 2 и 3, при условии выбора игры 2 в игре 3. "
16,"Игроку 2 следует выбрать игру 1, так как добровольно отказаться от возможности отвергнуть преложение - просто глупо."
17,"Игроку 2 следует выбрать игру 1, так как такая стратегия ведёт к более высокому предложению."
18,"Игроку 2 следует выбрать игру 2, так как такая стратегия ведёт к более высокому предложению."
19,"Игроку 2 следует выбрать игру 2, продемонстрировав таким образом игроку 1 своё доверие."
20,"Игроку 2 следует выбрать игру 2, потому что глупо отвергать любые предложения, и все это понимают."
21,"Игроку 2 следует быть более сговорчивым (принимать больше предложений) в игре 1 в том случае, если он сам выбрал эту игру."
22,"Игроку 2 следует быть менее сговорчивым (принимать меньше предложений) в игре 1 в том случае, если он сам выбрал эту игру."
23,"При условии выбора игры 1 в игре 3, игрок 2 должен выбрать одинаковое минимально приемлемое предложение в играх 1 и 3."
24,"Игроку 2 следует быть более сговорчивым (принимать больше предложений) в игре 1 в том случае, если он сам выбрал эту игру, так как он уже в какой-то мере повлиял на ситуацию."
25,"Игроку 2 следует быть более сговорчивым (принимать больше предложений) в игре 1 в том случае, если он сам выбрал эту игру, так как маленькие предложения теперь уже не кажутся такими несправидливыми как раньше, когда игру 1 выбирал компьютер."
26,"Игроку 2 следует быть менее сговорчивым (принимать меньше предложений) в игре 1 в том случае, если он сам выбрал эту игру, так как таким выбором он фактически предупредил игрока 1 о своём намерении отвергнуть достаточно низкие предложения."
27,"Обычно игрок 2 получает больше в игре 3, чем в игре 1."
28,"Обычно игрок 2 получает меньше в игре 3, чем в игре 1."
29,Обычно игрок 2 получает одинаковое количество жетонов в играх 1 и 3.
30,"Обычно игрок 2 получает больше в игре 3, чем в игре 2."
31,"Обычно игрок 2 получает меньше в игре 3, чем в игре 2."
32,Обычно игрок 2 получает одинаковое количество жетонов в играх 2 и 3.
33,"Когда игрок 1 решает, что предложить игроку 2 в игре 1, для него не важно, была ли эта игра выбрана игроком 2 (как в игре 3) или же компьютером (как в игре 1)."
34,"Когда игрок 1 решает, что предложить игроку 2 в игре 2, для него не важно, была ли эта игра выбрана игроком 2 (как в игре 3) или же компьютером (как в игре 2)."
